date,cat_col,average,minimum,maximum,total_sum,total_count
2021-03-05,Texas,5234.6,674,9574,26173,5
2021-03-05,Virginia,6350.5,5071,7630,12701,2
2021-03-05,Washington,9123,9123,9123,9123,1
2021-03-05,Wisconsin,8822,8822,8822,8822,1
2021-03-05,,,,,,11
2021-03-06,Alabama,7289,7289,7289,14578,2
2021-03-06,Arizona,6915,6915,6915,13830,2
2021-03-06,California,4397.333333333,315,9930,39576,9
2021-03-06,Colorado,4545,330,8087,13635,3
2021-03-06,Connecticut,6393.333333333,6166,6848,19180,3
2021-03-06,Florida,4286.714285714,356,7693,30007,7
2021-03-06,Georgia,2169,2169,2169,2169,1
2021-03-06,Hawaii,6286.5,4340,8233,12573,2
2021-03-06,Illinois,3745,3745,3745,3745,1
2021-03-06,Indiana,5382,5382,5382,5382,1
2021-03-06,Iowa,5062,5062,5062,5062,1
2021-03-06,Kansas,1573,1573,1573,1573,1
2021-03-06,Kentucky,7022,7022,7022,7022,1
2021-03-06,Louisiana,4498,669,8327,8996,2
2021-03-06,Massachusetts,5197,5197,5197,5197,1
2021-03-06,Michigan,4831.333333333,3475,5950,14494,3
2021-03-06,Minnesota,5166.5,879,9454,10333,2
2021-03-06,Nebraska,691,691,691,691,1
2021-03-06,New Jersey,5979.5,2995,8964,11959,2
2021-03-06,New Mexico,996,996,996,996,1
2021-03-06,New York,6522.125,4776,8350,52177,8
2021-03-06,North Carolina,6222.5,3240,9945,24890,4
2021-03-06,Ohio,6529,6529,6529,6529,1
2021-03-06,Oklahoma,5839,5839,5839,5839,1
2021-03-06,Oregon,7553,7553,7553,15106,2
2021-03-06,South Carolina,9480,9480,9480,9480,1
2021-03-06,Tennessee,5478,4338,6618,10956,2
2021-03-06,Texas,2932.7,337,7900,29327,10
2021-03-06,Utah,7312,7312,7312,7312,1
2021-03-06,Virginia,4934,995,9223,19736,4
2021-03-06,Washington,7432,7432,7432,7432,1
2021-03-06,West Virginia,6640,6640,6640,6640,1
2021-03-06,Wisconsin,1224,1224,1224,1224,1
2021-03-06,,,,,,11
2021-03-07,Alabama,1211,1211,1211,1211,1
2021-03-07,Alaska,5998,5998,5998,5998,1
2021-03-07,Arizona,1118,1118,1118,1118,1
2021-03-07,California,5042,54,7458,45378,9
2021-03-07,Colorado,1983,425,3541,3966,2
2021-03-07,Connecticut,6531,6531,6531,13062,2
2021-03-07,District of Columbia,2141.666666667,2100,2225,6425,3
2021-03-07,Florida,2841,2672,3010,5682,2
2021-03-07,Hawaii,6362,6362,6362,6362,1
2021-03-07,Idaho,8517,8517,8517,8517,1
2021-03-07,Indiana,2606,2288,2924,5212,2
2021-03-07,Kansas,7966,7966,7966,7966,1
2021-03-07,Kentucky,4636.25,2669,6224,18545,4
2021-03-07,Louisiana,4846,4846,4846,4846,1
2021-03-07,Maryland,9209,9209,9209,9209,1
2021-03-07,Massachusetts,2033,2033,2033,2033,1
2021-03-07,Michigan,452,452,452,452,1
2021-03-07,Minnesota,9762,9762,9762,9762,1
2021-03-07,New Mexico,9895,9895,9895,9895,1
2021-03-07,New York,8274,6881,9458,41370,5
2021-03-07,North Carolina,1892,1892,1892,1892,1
2021-03-07,Ohio,4835,2400,7099,14505,3
2021-03-07,Oklahoma,4787,4787,4787,4787,1
2021-03-07,Pennsylvania,5607.571428571,2358,9437,39253,7
2021-03-07,South Carolina,5964,5964,5964,5964,1
2021-03-07,South Dakota,5705,5705,5705,11410,2
2021-03-07,Texas,4481,1318,9959,40329,9
2021-03-07,Utah,809,809,809,809,1
2021-03-07,Virginia,5733.5,5305,6162,11467,2
2021-03-07,Washington,3453,3453,3453,6906,2
2021-03-07,,,,,,4
2021-03-08,Alabama,2793.5,2070,3517,5587,2
2021-03-08,Arizona,1171,1171,1171,1171,1
2021-03-08,California,4100.307692308,140,8790,53304,13
2021-03-08,Colorado,6279.333333333,5814,7210,18838,3
2021-03-08,Connecticut,6268,6268,6268,6268,1
2021-03-08,District of Columbia,2612,2612,2612,2612,1
2021-03-08,Florida,7138.2,4238,8483,35691,5
2021-03-08,Georgia,4797.4,306,8016,23987,5
2021-03-08,Illinois,6955.5,6350,7561,13911,2
2021-03-08,Indiana,4352,4352,4352,8704,2
2021-03-08,Kansas,3148.5,1569,4728,6297,2
2021-03-08,Kentucky,6201,5792,6610,12402,2
2021-03-08,Louisiana,734,734,734,734,1
2021-03-08,Maryland,6529.5,5925,8343,26118,4
2021-03-08,Michigan,7494,6023,8965,14988,2
2021-03-08,Minnesota,8939,8939,8939,17878,2
2021-03-08,Nebraska,3300.2,399,7027,16501,5
2021-03-08,New Jersey,9021,8553,9489,18042,2
2021-03-08,New York,6345.25,4286,8227,25381,4
2021-03-08,North Carolina,9158,9158,9158,9158,1
2021-03-08,North Dakota,5257,5257,5257,5257,1
2021-03-08,Ohio,965.25,415,2607,3861,4
2021-03-08,Pennsylvania,3441.5,306,6577,6883,2
2021-03-08,Rhode Island,1888,1888,1888,1888,1
2021-03-08,South Carolina,4198,4198,4198,8396,2
2021-03-08,Tennessee,6952,5598,8306,13904,2
2021-03-08,Texas,6540,966,8813,52320,8
2021-03-08,Virginia,4693,1408,7353,18772,4
2021-03-08,Washington,7918,7188,8283,23754,3
2021-03-08,Wisconsin,4377,461,6429,13131,3
2021-03-08,,,,,,14
2021-03-09,Alaska,9212,9212,9212,9212,1
2021-03-09,Arizona,964,964,964,964,1
2021-03-09,California,4198.142857143,574,5754,29387,7
2021-03-09,Colorado,6113.4,3588,9328,30567,5
2021-03-09,Connecticut,5801,5801,5801,5801,1
2021-03-09,District of Columbia,7743,7743,7743,7743,1
2021-03-09,Florida,5596.2,400,7246,27981,5
2021-03-09,Illinois,3361.5,2129,4594,6723,2
2021-03-09,Iowa,9988,9988,9988,9988,1
2021-03-09,Kansas,7981,7981,7981,7981,1
2021-03-09,Kentucky,3735,1527,8147,18675,5
2021-03-09,Louisiana,1450,1450,1450,1450,1
2021-03-09,Maryland,5558,5558,5558,5558,1
2021-03-09,Massachusetts,790,790,790,790,1
2021-03-09,Michigan,4698,37,8584,18792,4
2021-03-09,Minnesota,7201.5,6530,7873,14403,2
2021-03-09,Mississippi,1723,1723,1723,1723,1
2021-03-09,Missouri,7124,5784,9236,28496,4
2021-03-09,Nevada,2399,2399,2399,2399,1
2021-03-09,New Jersey,1670.5,440,2901,3341,2
2021-03-09,New Mexico,301,301,301,903,3
2021-03-09,New York,4932.5,629,9395,39460,8
2021-03-09,North Carolina,9075,8764,9410,36300,4
2021-03-09,Ohio,5845.75,3629,7642,23383,4
2021-03-09,Oklahoma,4167.5,739,7596,8335,2
2021-03-09,Rhode Island,3714,3714,3714,3714,1
2021-03-09,Tennessee,2069,2069,2069,2069,1
2021-03-09,Texas,4240.75,122,9683,33926,8
2021-03-09,Utah,1534,1534,1534,1534,1
2021-03-09,Virginia,5084,3149,7019,10168,2
2021-03-09,Washington,2897.75,352,7562,11591,4
2021-03-09,Wisconsin,4966.5,4481,5452,9933,2
2021-03-09,,,,,,11
2021-03-10,Arizona,9456,9456,9456,18912,2
2021-03-10,California,4556.285714286,1351,8886,63788,14
2021-03-10,Colorado,7261.5,4012,9629,29046,4
2021-03-10,Connecticut,4900,738,9335,19600,4
2021-03-10,District of Columbia,7126.2,5682,8897,35631,5
2021-03-10,Florida,5279.777777778,139,9967,47518,9
2021-03-10,Georgia,4071,1071,6262,12213,3
2021-03-10,Hawaii,877,877,877,1754,2
2021-03-10,Illinois,5171.666666667,1542,8248,15515,3
2021-03-10,Indiana,5934,3328,9296,17802,3
2021-03-10,Kansas,5318.5,2774,7863,10637,2
2021-03-10,Kentucky,2026,2026,2026,2026,1
2021-03-10,Louisiana,6260,3381,8941,25040,4
2021-03-10,Maryland,7655,7655,7655,7655,1
2021-03-10,Michigan,1758,1758,1758,3516,2
2021-03-10,Minnesota,5165,5144,5186,10330,2
2021-03-10,Mississippi,394,394,394,394,1
2021-03-10,Missouri,2262,2262,2262,2262,1
2021-03-10,New York,3061,2574,3548,6122,2
2021-03-10,Ohio,9630,9630,9630,9630,1
2021-03-10,South Carolina,4575,4575,4575,4575,1
2021-03-10,Tennessee,5398,2306,8490,10796,2
2021-03-10,Texas,5418.25,2630,8986,65019,12
2021-03-10,Virginia,2664.5,2566,2763,5329,2
2021-03-10,Washington,2622,2622,2622,5244,2
2021-03-10,,,,,,11
2021-03-11,Alabama,1850,1850,1850,1850,1
2021-03-11,Alaska,8433,8433,8433,8433,1
2021-03-11,Arkansas,9867,9867,9867,9867,1
2021-03-11,California,2968.363636364,191,8582,32652,11
2021-03-11,Colorado,4992.666666667,1068,6955,14978,3
2021-03-11,Connecticut,483,483,483,483,1
2021-03-11,Delaware,8755,8755,8755,8755,1
2021-03-11,District of Columbia,2624,1656,4290,7872,3
2021-03-11,Florida,4218,360,9673,29526,7
2021-03-11,Illinois,7021,4792,9250,14042,2
2021-03-11,Indiana,4076,4076,4076,4076,1
2021-03-11,Kansas,7689.5,5799,9580,15379,2
2021-03-11,Kentucky,2671.666666667,2645,2685,8015,3
2021-03-11,Louisiana,7743.5,7286,8201,15487,2
2021-03-11,Michigan,8418,8418,8418,8418,1
2021-03-11,Minnesota,34,34,34,34,1
2021-03-11,Mississippi,3255,3255,3255,6510,2
2021-03-11,Nebraska,70,70,70,70,1
2021-03-11,New York,3036,3036,3036,3036,1
2021-03-11,North Carolina,8162,8162,8162,8162,1
2021-03-11,Ohio,3189.5,2154,4225,6379,2
2021-03-11,Oklahoma,3514,3514,3514,3514,1
2021-03-11,Pennsylvania,719,719,719,719,1
2021-03-11,Tennessee,9392,9392,9392,9392,1
2021-03-11,Texas,5046.714285714,1430,9393,35327,7
2021-03-11,Vermont,8482,8482,8482,8482,1
2021-03-11,Virginia,2458.25,686,3713,9833,4
2021-03-11,Washington,5185.5,4132,6239,10371,2
2021-03-11,West Virginia,5959,5959,5959,5959,1
2021-03-11,Wisconsin,2697,2697,2697,2697,1
2021-03-11,,,,,,3
2021-03-12,Alabama,7177.75,4389,9902,28711,4
2021-03-12,Arizona,4011.5,1701,6322,8023,2
2021-03-12,California,5493,1810,8342,38451,7
2021-03-12,Connecticut,5092,5092,5092,5092,1
2021-03-12,District of Columbia,7344.166666667,2051,9279,44065,6
2021-03-12,Florida,4277,441,7225,29939,7
2021-03-12,Georgia,3328,1072,6746,23296,7
2021-03-12,Hawaii,2786,2786,2786,5572,2
2021-03-12,Indiana,6655.5,4685,8626,13311,2
2021-03-12,Iowa,2666,2666,2666,2666,1
2021-03-12,Louisiana,4279.333333333,1760,9318,12838,3
2021-03-12,Maryland,7671.5,6416,8927,15343,2
2021-03-12,Michigan,1428.6,116,6346,7143,5
2021-03-12,Minnesota,9411,9411,9411,9411,1
2021-03-12,Missouri,6229.5,5694,6765,12459,2
2021-03-12,Nebraska,982.5,914,1051,1965,2
2021-03-12,New York,6114,2385,9313,24456,4
2021-03-12,North Carolina,2686.333333333,353,5645,8059,3
2021-03-12,Ohio,5212.333333333,4551,5543,15637,3
2021-03-12,Oregon,4398,2280,5104,17592,4
2021-03-12,Pennsylvania,5741.333333333,5620,5984,17224,3
2021-03-12,South Dakota,9206,9206,9206,9206,1
2021-03-12,Tennessee,671,671,671,671,1
2021-03-12,Texas,5809.375,181,9152,46475,8
2021-03-12,Utah,9975,9975,9975,9975,1
2021-03-12,Virginia,6181,6181,6181,6181,1
2021-03-12,Wisconsin,6284,6284,6284,6284,1
2021-03-12,,,,,,5
2021-03-13,Alaska,5078.5,4989,5168,10157,2
2021-03-13,Arkansas,5704,5704,5704,5704,1
2021-03-13,California,5406.6,2543,9393,54066,10
2021-03-13,Colorado,9379,9379,9379,9379,1
2021-03-13,District of Columbia,6692,6692,6692,6692,1
2021-03-13,Florida,4399.3,220,7283,43993,10
2021-03-13,Georgia,6379.6,803,9901,31898,5
2021-03-13,Indiana,4199.666666667,907,5846,12599,3
2021-03-13,Iowa,978,978,978,978,1
2021-03-13,Kentucky,3421.5,527,6316,6843,2
2021-03-13,Maryland,3193.571428571,902,4970,22355,7
2021-03-13,Massachusetts,8300,8300,8300,8300,1
2021-03-13,Michigan,4657.5,3,9312,9315,2
2021-03-13,Minnesota,3030,3030,3030,3030,1
2021-03-13,Missouri,8222,8222,8222,8222,1
2021-03-13,New York,3592.857142857,1023,8172,25150,7
2021-03-13,Ohio,4225.666666667,140,9072,25354,6
2021-03-13,Oklahoma,6764,6764,6764,6764,1
2021-03-13,Pennsylvania,6143,6143,6143,6143,1
2021-03-13,South Dakota,9376,9376,9376,9376,1
2021-03-13,Tennessee,4850,2632,9286,14550,3
2021-03-13,Texas,5639.538461538,508,9955,73314,13
2021-03-13,Utah,9153,9153,9153,9153,1
2021-03-13,Virginia,2090,2090,2090,2090,1
2021-03-13,,,,,,8
2021-03-14,Arizona,2218,2218,2218,2218,1
2021-03-14,Arkansas,5436,1572,9300,10872,2
2021-03-14,California,5763.545454545,961,9627,63399,11
2021-03-14,Colorado,5227.666666667,520,9904,31366,6
2021-03-14,Connecticut,4784,4146,5422,9568,2
2021-03-14,District of Columbia,3262,1211,5313,6524,2
2021-03-14,Florida,4221.857142857,93,9987,29553,7
2021-03-14,Georgia,3769.666666667,754,9168,22618,6
2021-03-14,Hawaii,1892,1892,1892,3784,2
2021-03-14,Illinois,3186,1898,4474,6372,2
2021-03-14,Indiana,8399.5,7025,9774,16799,2
2021-03-14,Iowa,7330,7330,7330,7330,1
2021-03-14,Kansas,1680,1680,1680,1680,1
2021-03-14,Louisiana,8058.5,5475,9455,32234,4
2021-03-14,Maryland,2698,2698,2698,2698,1
2021-03-14,Michigan,6699,6699,6699,6699,1
2021-03-14,Missouri,4094.5,332,5992,24567,6
2021-03-14,Montana,1719,1719,1719,1719,1
2021-03-14,Nevada,3715.5,1960,5471,7431,2
2021-03-14,New Mexico,2841,2841,2841,2841,1
2021-03-14,New York,6729.5,3535,9924,13459,2
2021-03-14,Ohio,6460,835,9450,19380,3
2021-03-14,Oklahoma,2406,240,4572,4812,2
2021-03-14,Oregon,7725,7725,7725,7725,1
2021-03-14,Pennsylvania,5681,5681,5681,11362,2
2021-03-14,Tennessee,2204.5,698,6724,8818,4
2021-03-14,Texas,3363.333333333,1000,5729,30270,9
2021-03-14,Utah,4952,4952,4952,4952,1
2021-03-14,Virginia,8428.5,7658,9199,33714,4
2021-03-14,Washington,5528,5528,5528,5528,1
2021-03-14,Wisconsin,4084.166666667,1112,6491,24505,6
2021-03-14,,,,,,9
2021-03-15,Alaska,5214,5214,5214,5214,1
2021-03-15,California,5509.944444444,114,9657,99179,18
2021-03-15,Colorado,7826.5,5849,9804,15653,2
2021-03-15,Connecticut,6080,6006,6228,18240,3
2021-03-15,Florida,3712.285714286,618,9043,25986,7
2021-03-15,Georgia,6044.5,3894,8195,12089,2
2021-03-15,Hawaii,3162,3162,3162,3162,1
2021-03-15,Illinois,1083,720,1446,2166,2
2021-03-15,Iowa,9063.5,8395,9732,18127,2
2021-03-15,Kansas,3600,3600,3600,3600,1
2021-03-15,Louisiana,3035,3035,3035,3035,1
2021-03-15,Massachusetts,7499.75,4861,9760,29999,4
2021-03-15,Michigan,8178,8178,8178,8178,1
2021-03-15,Mississippi,9087,9087,9087,9087,1
2021-03-15,Nebraska,2912,2912,2912,2912,1
2021-03-15,New Mexico,5285,5285,5285,5285,1
2021-03-15,New York,5380,2760,9409,26900,5
2021-03-15,North Carolina,2723,2723,2723,8169,3
2021-03-15,Ohio,6880.333333333,4009,8972,20641,3
2021-03-15,Oregon,97,97,97,97,1
2021-03-15,Pennsylvania,6329.2,1542,9141,31646,5
2021-03-15,South Carolina,3096,2155,5919,12384,4
2021-03-15,Tennessee,6936,6936,6936,6936,1
2021-03-15,Texas,6125.3125,874,9305,98005,16
2021-03-15,Washington,5213,1741,8685,10426,2
2021-03-15,West Virginia,1092,1092,1092,1092,1
2021-03-15,Wisconsin,5215.5,4127,6304,10431,2
2021-03-15,,,,,,14
2021-03-16,Arizona,4147,4147,4147,4147,1
2021-03-16,Arkansas,5473,5473,5473,5473,1
2021-03-16,California,3328.75,86,8386,26630,8
2021-03-16,District of Columbia,3762,424,8168,22572,6
2021-03-16,Florida,3474.714285714,930,6938,24323,7
2021-03-16,Georgia,5520,3390,7650,11040,2
2021-03-16,Hawaii,7136,7136,7136,7136,1
2021-03-16,Idaho,8207,8207,8207,16414,2
2021-03-16,Indiana,3524.6,776,8841,17623,5
2021-03-16,Iowa,6512,1760,9625,19536,3
2021-03-16,Kentucky,8284.5,7839,8433,33138,4
2021-03-16,Louisiana,401,401,401,401,1
2021-03-16,Massachusetts,2478,2478,2478,4956,2
2021-03-16,Michigan,6249,3028,8435,18747,3
2021-03-16,Minnesota,4139.75,1843,6603,16559,4
2021-03-16,Missouri,860.5,627,1094,1721,2
2021-03-16,Nebraska,954.666666667,424,2016,2864,3
2021-03-16,Nevada,2776,2776,2776,2776,1
2021-03-16,New York,6192.666666667,471,9699,37156,6
2021-03-16,North Carolina,7511.5,6675,8348,15023,2
2021-03-16,North Dakota,9938,9938,9938,9938,1
2021-03-16,Ohio,7397,7397,7397,7397,1
2021-03-16,Oklahoma,7822.5,5085,8735,31290,4
2021-03-16,Oregon,7396,7396,7396,7396,1
2021-03-16,Pennsylvania,5432.666666667,596,9672,16298,3
2021-03-16,Texas,5663.181818182,96,8836,62295,11
2021-03-16,Virginia,3096,3096,3096,3096,1
2021-03-16,Washington,3721.5,1857,5586,7443,2
2021-03-16,Wisconsin,2365.5,275,6390,9462,4
2021-03-16,,,,,,12
2021-03-17,Alabama,1672,1672,1672,1672,1
2021-03-17,Alaska,4010,4010,4010,4010,1
2021-03-17,Arizona,4941.166666667,1870,8809,29647,6
2021-03-17,Arkansas,6268,6268,6268,6268,1
2021-03-17,California,3530.833333333,24,8414,21185,6
2021-03-17,Connecticut,4286,2882,5690,8572,2
2021-03-17,Florida,5899.666666667,1084,9633,17699,3
2021-03-17,Hawaii,889,889,889,889,1
2021-03-17,Idaho,438,438,438,438,1
2021-03-17,Illinois,5290,1422,9158,10580,2
2021-03-17,Indiana,6848,3834,9862,13696,2
2021-03-17,Iowa,3960.6,2327,6015,19803,5
2021-03-17,Kansas,92,92,92,92,1
2021-03-17,Louisiana,3486,3486,3486,6972,2
2021-03-17,Maryland,6347,6347,6347,6347,1
2021-03-17,Minnesota,6928,6928,6928,13856,2
2021-03-17,Missouri,3630,2195,4451,14520,4
2021-03-17,New York,4859.714285714,233,8760,34018,7
2021-03-17,North Carolina,4342,2869,5815,8684,2
2021-03-17,Ohio,3289.5,3065,3514,6579,2
2021-03-17,Rhode Island,9533,9533,9533,9533,1
2021-03-17,Tennessee,4623.5,3566,5681,18494,4
2021-03-17,Texas,4349,1571,8403,34792,8
2021-03-17,Utah,8082,8082,8082,8082,1
2021-03-17,Washington,2381,539,5729,7143,3
2021-03-17,,,,,,6
2021-03-18,Arizona,5484.5,4024,6945,10969,2
2021-03-18,California,4722.153846154,427,9534,61388,13
2021-03-18,Colorado,2073.666666667,641,2818,6221,3
2021-03-18,Connecticut,7941,6612,9270,15882,2
2021-03-18,District of Columbia,1421.2,203,3064,7106,5
2021-03-18,Florida,5681.5,1349,9753,45452,8
2021-03-18,Georgia,4315.5,4024,4607,8631,2
2021-03-18,Hawaii,6820,6820,6820,6820,1
2021-03-18,Illinois,4806.666666667,3301,7818,14420,3
2021-03-18,Kentucky,4572,4572,4572,4572,1
2021-03-18,Louisiana,5954,5954,5954,5954,1
2021-03-18,Massachusetts,6274,6274,6274,6274,1
2021-03-18,Michigan,6602,1571,8279,26408,4
2021-03-18,Minnesota,2792,2792,2792,2792,1
2021-03-18,Mississippi,3741,3741,3741,3741,1
